Haiti,HTI,CO2 emissions (metric tons per capita),203,185,186,184,215,210,203,247,277,244,262,290,310,314,307,299,292,256
Honduras,HND,CO2 emissions (metric tons per capita),953,1045,942,1052,1103,1084,1000,987,1035,1058,1062,1056,1083,1014,955,1019,1107,975
Hungary,HUN,CO2 emissions (metric tons per capita),5749,5579,5548,5507,5356,5283,4773,4788,4704,4378,4120,4118,4407,4532,4756,4746,5068,4997
Iceland,ISL,CO2 emissions (metric tons per capita),7702,7943,7717,7670,7639,6868,6625,6163,5925,5800,6270,6262,6227,6171,6319,6237,10473,8604
India,IND,CO2 emissions (metric tons per capita),914,962,991,1042,1129,1186,1288,1349,1408,1508,1536,1649,1641,1648,1719,1800,1922,1769
Indonesia,IDN,CO2 emissions (metric tons per capita),1522,1537,1522,1588,1635,1602,1653,1724,1960,1959,1804,1921,1900,1892,2014,2178,2441,2155
"Iran, Islamic Rep.",IRN,CO2 emissions (metric tons per capita),5735,6087,6468,6956,7342,7406,7562,7468,7526,7561,7747,7883,7672,7613,7695,7693,8845,8870
Iraq,IRQ,CO2 emissions (metric tons per capita),2811,2861,3277,3056,2776,3031,3711,4042,4265,4762,4902,4906,4559,4708,4641,4895,5673,5242
Ireland,IRL,CO2 emissions (metric tons per capita),11065,11021,11245,11187,10689,10324,9044,8910,7939,8066,7725,7632,7867,8140,7807,7624,7635,6754
Israel,ISR,CO2 emissions (metric tons per capita),9401,9276,8801,9120,9274,9126,8780,9249,8991,9615,8313,7876,7893,7636,7579,6976,7324,6510
Italy,ITA,CO2 emissions (metric tons per capita),8064,8189,8174,8026,7861,7564,6719,6837,6681,6328,5752,5387,5563,5498,5438,5376,5611,5025
Jamaica,JAM,CO2 emissions (metric tons per capita),3909,3879,3854,4378,4342,3458,2818,2661,2689,2502,2652,2574,2522,2667,2462,2900,2729,2509
Japan,JPN,CO2 emissions (metric tons per capita),9519,9479,9500,9310,9581,9055,8600,9027,9482,9811,9894,9584,9293,9224,9086,8742,8718,8150
Jordan,JOR,CO2 emissions (metric tons per capita),3185,3330,3446,3366,3372,3052,2997,2782,2709,2981,2794,2869,2737,2602,2667,2479,2549,2498
Kazakhstan,KAZ,CO2 emissions (metric tons per capita),9142,10006,10727,11772,12213,14706,12690,13698,14627,14381,15047,11871,11779,12533,12505,12062,15949,15516
